Date,DJI,NIFTY,UKX
2016-04-05,17603.32,7848.85,6105.9
2016-04-06,17716.05,7900.4,6203.17
2016-04-07,17541.96,7814.9,6174.9
2016-04-08,17576.96,7860.75,6146.05
2016-04-11,17556.41,7890.75,6164.72
2016-04-12,17721.25,7870.15,6091.23
2016-04-13,17908.28,7783.4,6161.63
2016-04-14,17926.43,7749.7,6136.89
2016-04-15,17897.46,7731.05,6204.41
2016-04-18,18004.16,7748.85,6200.12
2016-04-19,18053.6,7934.9,6242.39
2016-04-20,18096.27,8069.65,6362.89
2016-04-21,17982.52,8156.65,6365.1
2016-04-22,18003.75,8178.5,6343.75
2016-04-25,17977.24,8160.1,6353.52
2016-04-26,17990.32,8179.95,6405.35
2016-04-27,18041.55,8218.95,6410.26
2016-04-28,17830.76,8220.8,6381.44
2016-04-29,17773.64,8201.05,6310.44
2016-05-02,17891.16,8266.45,6260.92
2016-05-03,17750.91,8273.05,6284.52
2016-05-04,17651.26,8203.6,6319.91
2016-05-05,17660.71,8170.05,6322.4
2016-05-06,17740.63,8110.6,6241.89
2016-05-09,17705.91,8108.85,6185.59
2016-05-10,17928.35,8206.6,6112.02
2016-05-11,17711.12,8140.75,6117.25
2016-05-12,17720.5,8170.2,6125.7
2016-05-13,17535.32,8238.5,6114.81
2016-05-16,17710.71,8219.9,6156.65
2016-05-17,17529.98,8203.7,6162.49
2016-05-18,17526.62,8270.45,6104.19
2016-05-19,17435.4,8088.6,6138.5
2016-05-20,17500.94,8094.7,6151.4
2016-05-23,17492.93,8127.85,6167.77
2016-05-24,17706.05,8204,6165.8
2016-05-25,17851.51,8287.75,6053.35
2016-05-26,17828.29,8328.35,6156.32
2016-05-27,17873.22,8370.7,6136.43
2016-05-31,17787.2,8335.95,6219.26
2016-06-01,17789.67,8337.9,6262.85
2016-06-02,17838.56,8323.2,6265.65
2016-06-03,17807.06,8467.9,6270.79
2016-06-06,17920.33,8521.05,6230.79
2016-06-07,17938.28,8519.5,6191.93
2016-06-08,18005.05,8565,6185.61
2016-06-09,17985.19,8541.4,6209.63
2016-06-10,17865.34,8508.7,6273.4
2016-06-13,17732.48,8528.55,6284.53
2016-06-14,17674.82,8565.85,6301.52
2016-06-15,17640.17,8510.1,6231.89
2016-06-16,17733.1,8541.2,6115.76
2016-06-17,17675.16,8635.65,6044.97
2016-06-20,17804.87,8590.65,5923.53
2016-06-21,17829.73,8615.8,5966.8
2016-06-22,17780.83,8666.3,5950.48
2016-06-23,18011.07,8638.5,6021.09
2016-06-24,17400.75,8636.55,6204
2016-06-27,17140.24,8622.9,6226.55
2016-06-28,17409.72,8544.85,6261.19
2016-06-29,17694.68,8551.1,6338.1
2016-06-30,17929.99,8683.15,6138.69
2016-07-01,17949.37,8711.35,5982.2
2016-07-05,17840.62,8678.25,6140.39
2016-07-06,17918.62,8575.3,6360.06
2016-07-07,17895.88,8592.15,6504.33
2016-07-08,18146.74,8672.15,6577.83
2016-07-11,18226.93,8642.55,6522.26
2016-07-12,18347.67,8624.05,6545.37
2016-07-13,18372.12,8673.25,6463.59
2016-07-14,18506.41,8666.9,6533.79
2016-07-15,18516.55,8629.15,6590.64
2016-07-18,18533.05,8632.6,6682.86
2016-07-19,18559.01,8650.3,6680.69
2016-07-20,18595.03,8592.2,6670.4
2016-07-21,18517.23,8572.55,6654.47
2016-07-22,18570.85,8607.45,6669.24
2016-07-25,18493.06,8744.35,6695.42
2016-07-26,18473.75,8786.2,6697.37
2016-07-27,18472.17,8774.65,6728.99
2016-07-28,18456.35,8809.65,6699.89
2016-07-29,18432.24,8943,6730.48
2016-08-01,18404.51,8917.95,6710.13
2016-08-02,18313.77,8952.5,6724.03
2016-08-03,18355,8866.7,6750.43
2016-08-04,18352.05,8715.6,6721.06
2016-08-05,18543.53,8726.6,6724.43
2016-08-08,18529.29,8742.55,6693.95
2016-08-09,18533.05,8779.85,6645.4
2016-08-10,18495.66,8808.4,6634.4
2016-08-11,18613.52,8775.9,6740.16
2016-08-12,18576.47,8777.15,6793.47
2016-08-15,18636.05,8867.45,6809.13
2016-08-16,18552.02,8831.55,6851.3
2016-08-17,18573.94,8723.05,6866.42
2016-08-18,18597.7,8706.4,6914.71
2016-08-19,18552.57,8745.15,6916.02
2016-08-22,18529.42,8591.25,6941.19
2016-08-23,18547.3,8611.15,6893.92
2016-08-24,18481.48,8738.1,6859.15
